variant,rmse,mae,r2,rmse_bfw,mae_bfw,bias,n,delta_bps
FULL empirical-Bayes model,0.040753100277252007,0.03155582874489724,0.4068504360303794,0.037530991663919516,0.029200908536011972,-0.0006033660054720546,459,0.0
  no aging adjustment,0.0415210335170447,0.03291854170073985,0.38428572926251947,0.03849352619118498,0.030583432761935012,0.006268584267713888,459,7.7
  no league re-anchoring,0.04073991620671104,0.031591559371042785,0.40723415460352996,0.03752027808098235,0.029218065400942527,0.00016732569962648304,459,-0.1
  no recency weighting (1/1/1),0.04192848578023572,0.032430160140793626,0.37214224028431087,0.03880146292145379,0.030222357378722246,9.874311704639547e-05,459,11.8
  flat prior (Stuff+ unused),0.04096761315124901,0.03184399385375883,0.4005896563630542,0.0377822229061897,0.029438510257039776,0.0004800979782983128,459,2.1
  uncalibrated Stuff+ prior,0.04133340018260599,0.03213900915531793,0.3898379747401495,0.03795339353924545,0.029628778091145874,0.001375917159006407,459,5.8
  almost no shrinkage (k=5),0.04898704383417358,0.036679607725726475,0.1429515497061694,0.04378069348173015,0.03289581794655144,0.000902679311829983,459,82.3
  over-shrunk (k=400),0.04101222159138579,0.03221055801712276,0.3992835847663886,0.03765635334778614,0.02955682052042538,-0.0026159806638768423,459,2.6
