model,target_season,min_tbf_eval,rmse,mae,r2,rmse_bfw,mae_bfw,bias,n,fold_weights
M3_eb_stuff_prior,2023,200,0.043667831795215384,0.03324590685747154,0.35057198996031036,0.04017519572515416,0.030718328892206073,-0.014803651280896942,336,"(1.0, 0.8, 0.6)"
M4_ridge,2023,200,0.04501034850002732,0.03496916641814909,0.31002634348425717,0.041832008549503336,0.032766928216859365,-0.021258423513112537,336,"(1.0, 0.8, 0.6)"
M5_lightgbm,2023,200,0.045465433648270596,0.03477599603461681,0.2960036071851829,0.042728519804023576,0.03316991666242524,-0.01798297374004673,336,"(1.0, 0.8, 0.6)"
M6_blend_eb_ridge,2023,200,0.04388909418776123,0.03370946953445446,0.3439740878446901,0.04045643116614131,0.031314980083059225,-0.01803103739700474,336,"(1.0, 0.8, 0.6)"
M0_league_average,2024,0,0.07011430791364366,0.05213118170693023,-0.016852137495455333,0.05103887819147098,0.03978040598639406,0.009026206095046544,650,"(1.0, 0.6, 0.35)"
M1_last_season_kpct,2024,0,0.0824600056471102,0.056252066261538454,-0.4064724292354034,0.055085593547634454,0.03900567080023637,0.009665991492307693,650,"(1.0, 0.6, 0.35)"
M2_marcel_flat_prior,2024,0,0.06179552179348582,0.04362661895905109,0.2101247420051071,0.040811661901734735,0.030360513839983064,0.003389424585874353,650,"(1.0, 0.6, 0.35)"
M3_eb_stuff_prior,2024,0,0.06176480624928047,0.04355910730045612,0.21090976390014082,0.040975849158554505,0.030298855184469068,0.0015795800418220791,650,"(1.0, 0.6, 0.35)"
M4_ridge,2024,0,0.06550456170135632,0.047006474117204274,0.11246069930231517,0.04256325828464613,0.032322988205432314,0.017681860552445826,650,"(1.0, 0.6, 0.35)"
M5_lightgbm,2024,0,0.06323246114366873,0.04468975253688889,0.17296350470622435,0.04220324454658716,0.031225145361016844,0.006842228103736547,650,"(1.0, 0.6, 0.35)"
M6_blend_eb_ridge,2024,0,0.06281329069182955,0.04449709152289695,0.1838920756693373,0.040759810792881886,0.030384069556697403,0.009630720297133952,650,"(1.0, 0.6, 0.35)"
M0_league_average,2024,50,0.055447249317107955,0.043272574613667195,-0.0006135616969986657,0.049802546505543985,0.039025375619547206,0.001373017060771589,531,"(1.0, 0.6, 0.35)"
M1_last_season_kpct,2024,50,0.06598911102146957,0.046620899755178906,-0.4172645624084341,0.053167739029297015,0.03811620462882595,0.005843582542372882,531,"(1.0, 0.6, 0.35)"
M2_marcel_flat_prior,2024,50,0.045603497998117096,0.03476311424971503,0.3231340221045459,0.03945831140743611,0.029667200505690012,-0.0016704909065921745,531,"(1.0, 0.6, 0.35)"
